id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1379560,1,55,1885,136.83,152.29,0,0,177
1466964,1,55,1993,136.83,135.83,0,0,270
1346989,1,55,2539,134.86,135.86,0,0,189
1338232,1,55,2139,339.5,437.53,0,0,54
1448490,1,55,2631,243.5,242.5,0,0,40
1270037,1,55,1248,251.23,252.23,0,0,28
1191377,1,55,1778,183.36,184.36,0,0,190
1499955,1,55,1062,182.36,183.36,0,0,391
1025244,1,55,2707,193.06,192.06,0,0,472
1054194,1,55,1207,325.92,384.18,0,1,676
1469367,1,55,1230,323.01,390,0,1,823
1029333,1,55,2322,322.07,388,0,1,972
1446016,1,55,2290,311.43,310.43,0,0,162
1244647,1,55,1727,445.23,446.23,0,0,420
1378227,1,55,1109,264.84,297.79,1,0,756
1181556,1,55,2640,282.33,281.33,0,0,108
1313873,1,55,2306,243.5,340.53,0,0,28
1067069,1,55,2126,486,485,0,0,28
1058482,1,55,2826,306.58,305.58,0,0,188
1240935,1,55,1754,289.12,289.12,0,0,485
1044821,1,55,1971,259.99,320.13,1,1,798
1149039,1,55,1902,388.03,446.23,0,0,14
1263416,1,55,1311,196.94,320.13,0,0,176
1323882,1,55,1803,117.4,188.24,0,0,150
1338119,1,55,1558,583.03,610.13,1,0,162
1188372,1,55,2581,583.03,612.13,1,0,312
1440008,1,55,1962,582.03,612.13,1,0,231
1336534,1,55,1445,628.62,627.62,0,0,13
1242186,1,55,2444,627.62,626.62,0,0,15
1012819,1,55,2867,628.62,626.62,0,0,13
1038567,1,55,1525,243.5,282.33,0,0,15
1325272,1,55,2704,243.5,282.33,0,0,13
1412058,1,55,2304,484.03,484.03,0,0,13
1040403,1,24,1885,136.83,136.83,0,0,1498
1012104,1,24,1993,134.83,135.83,0,1,1243
1364159,2,89,1198,174.63,173.63,0,0,149
1161087,2,89,1311,199.88,199.88,0,0,283
1266458,2,89,1803,182.39,183.39,0,0,500
1255266,2,89,1438,244.5,271.63,0,0,14
1445353,2,89,2494,243.5,272.63,0,0,55
1032719,2,89,1558,583.03,610.13,1,1,215
1333886,2,89,2581,581.03,610.13,1,1,364
1129058,2,89,1962,581.03,616.98,1,1,270
1486899,2,89,1445,627.62,628.62,0,0,53
1060064,2,89,2444,627.62,627.62,0,0,13
1128495,2,89,2867,626.62,627.62,0,0,42
1133206,2,89,2760,241.53,243.53,0,0,161
1258439,2,89,1525,246.41,282.33,0,0,203
1347763,2,89,2704,244.5,282.33,0,0,80
1158934,2,89,2492,388.03,387.03,0,0,14
1370891,2,89,1543,486.03,486.03,0,0,14
1317799,2,89,2304,485.03,485.03,0,0,41
1115658,2,124,1885,134.86,135.86,0,0,284
1218101,2,124,1993,131.95,130.95,0,0,393
1232702,2,124,2539,134.89,132.89,0,0,107
1478421,2,124,2631,97,252.23,1,0,283
1078354,2,124,1248,98,253.23,1,0,392
1265498,2,124,1778,182.36,182.36,0,0,311
1356557,2,124,1062,182.39,181.39,0,0,230
1060607,2,124,2707,194.03,195.03,0,0,392
1232356,2,124,1230,321.07,320.1,0,1,635
1473208,2,124,2322,318.19,317.19,0,0,459
1084817,2,124,2290,309.43,310.43,0,0,243
1357674,2,124,1727,446.23,447.23,0,0,269
1386981,2,124,1109,270.66,301.67,0,0,784
1214274,2,124,2577,282.33,280.33,0,0,42
1220212,2,124,2640,280.33,281.33,0,0,27
1091177,2,124,1878,280.33,280.33,0,0,42
1344638,2,124,2306,242.5,340.53,0,0,81
1376411,2,124,1216,456.93,454.93,0,0,15
1058243,3,99,1770,338.53,486.03,0,0,69
1159599,3,99,1438,243.5,272.63,0,0,55
1293217,3,99,2494,244.5,272.63,0,0,80
1297248,3,99,1558,612.13,612.13,0,0,122
1253122,3,99,2581,606.25,607.25,0,0,95
1384678,3,99,1962,611.13,612.13,0,0,121
1052022,3,99,1445,627.62,626.62,0,0,53
1101591,3,99,2444,627.62,626.62,0,0,54
1283085,3,99,2760,243.53,243.53,0,0,96
1487292,3,99,1525,243.5,280.33,0,1,202
1240378,3,99,2704,242.5,282.33,0,1,122
1065602,3,99,2492,389.03,389.03,0,0,27
1186436,3,99,1543,484.03,485.03,0,0,41
1270646,3,99,2304,485.03,484.03,0,0,40
1176332,3,66,1885,97.06,116.46,0,0,863
1480922,3,66,1993,96.06,114.49,0,0,810
1104464,3,66,2539,96.03,114.49,0,0,377
1110371,3,66,2631,97,245.41,0,0,94
1067353,3,66,1248,96.06,238.62,0,1,203
1005890,3,66,1778,180.45,179.45,0,0,257
1004759,3,66,1062,182.39,182.39,0,0,474
1109974,3,66,2707,189.15,217.31,0,0,339
1291768,3,66,1207,320.16,318.16,0,0,82
1426627,3,66,1230,312.4,310.4,0,0,161
1355621,3,66,2322,316.25,317.25,0,0,107
1486550,3,66,2290,311.43,311.43,0,0,594
1377151,3,66,1727,404.55,404.55,0,0,269
1479970,3,66,1109,305.58,306.58,0,0,528
1441670,3,66,2577,243.53,241.53,0,0,215
1144630,3,66,2640,243.53,243.53,0,0,310
